dateHour,networkDomain,visitors,visits,bounces,timeOnSite,Date,Hour,Domain
2014011713,,548,1,0.99,3,2014-01-17,13,Actual
2014011714,,553,1,0.97,19,2014-01-17,14,Actual
2014011715,,607,1,1,0,2014-01-17,15,Actual
2014011716,,763,1,0.95,39,2014-01-17,16,Actual
2014011717,,787,1,0.99,10,2014-01-17,17,Actual
2014011718,,760,1,1,1,2014-01-17,18,Actual
2014011719,,698,1,1,0,2014-01-17,19,Actual
2014011720,,744,1,0.99,5,2014-01-17,20,Actual
2014011721,,737,1,0.99,4,2014-01-17,21,Actual
2014011722,,609,1,1,2,2014-01-17,22,Actual
2014011723,,460,1,1,2,2014-01-17,23,Actual
2014011800,,263,1,1,0,2014-01-18,00,Actual
2014011801,,189,1,0.99,0,2014-01-18,01,Actual
2014011802,,132,1,0.98,2,2014-01-18,02,Actual
2014011803,,70,1,0.94,4,2014-01-18,03,Actual
2014011804,,43,1,0.86,6,2014-01-18,04,Actual
2014011805,,38,1,1,0,2014-01-18,05,Actual
2014011806,,42,1,1,0,2014-01-18,06,Actual
2014011807,,92,1,1,0,2014-01-18,07,Actual
2014011808,,247,1,0.99,2,2014-01-18,08,Actual
2014011809,,404,1,1,2,2014-01-18,09,Actual
2014011810,,552,1,0.95,27,2014-01-18,10,Actual
2014011811,,563,1,0.96,24,2014-01-18,11,Actual
2014011812,,549,1,0.97,16,2014-01-18,12,Actual
2014011813,,533,1,0.97,13,2014-01-18,13,Actual
2014011814,,578,1,0.92,44,2014-01-18,14,Actual
2014011815,,663,1,0.88,78,2014-01-18,15,Actual
2014011816,,763,1,0.91,60,2014-01-18,16,Actual
2014011817,,825,1,0.95,43,2014-01-18,17,Actual
2014011818,,819,1,0.99,6,2014-01-18,18,Actual
2014011819,,740,1,1,1,2014-01-18,19,Actual
2014011820,,786,1,0.99,7,2014-01-18,20,Actual
2014011821,,719,1,0.99,5,2014-01-18,21,Actual
2014011822,,574,1,1,1,2014-01-18,22,Actual
2014011823,,453,1,0.99,4,2014-01-18,23,Actual
2014011900,,261,1,1,0,2014-01-19,00,Actual
2014011901,,194,1,0.94,12,2014-01-19,01,Actual
2014011902,,134,1,1,0,2014-01-19,02,Actual
2014011903,,69,1,0.94,4,2014-01-19,03,Actual
2014011904,,44,1,0.95,2,2014-01-19,04,Actual
2014011905,,38,1,1,0,2014-01-19,05,Actual
2014011906,,31,1,1,0,2014-01-19,06,Actual
2014011907,,96,1,0.99,1,2014-01-19,07,Actual
2014011908,,179,1,1,0,2014-01-19,08,Actual
2014011909,,288,1,0.97,10,2014-01-19,09,Actual
2014011910,,437,1,0.86,61,2014-01-19,10,Actual
